Ano,Mes,IPCA,Cambio,Selic,CC,Balanca_com,Result_prim
2020,1,"0,21","4,27","4,50","-11,90","-1,74","44,12"
2020,2,"0,25","4,48","4,25","-3,90","3,00","-25,86"
